direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad
"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",256.0,Gastos comunes aproximados $ 68.000,29 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 2 días por Blue Home,"Santo Domingo 3251 -  Departamento Studio, Santiago",https://www.portalinmobiliario.com/MLC-1669967234-santo-domingo-3251-departamento-studio-santiago-_JM#position=18&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4364604,-70.643372,Santiago
"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",262.0,Gastos comunes aproximados $ 72.000,35 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 6 días por Blue Home,"Santo Domingo 3251 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1383463879-santo-domingo-3251-departamento-1d1b-santiago-_JM#position=19&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4364604,-70.643372,Santiago
"Chiloe 1951, Santiago, Chile, Franklin - Biobío, Santiago, RM (Metropolitana)",280.0,Gastos comunes aproximados $ 60.000,32 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 5 días,Departamento 1d Y 1b En Chiloé.,https://www.portalinmobiliario.com/MLC-1659607182-departamento-1d-y-1b-en-chiloe-_JM#position=20&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.47171293287671,-70.64534050821918,Santiago
"Zenteno 1482, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)",240.0,Gastos comunes aproximados $ 39.000,30 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 5 días,Mc 1d Con Bodega Metro Rondizonni,https://www.portalinmobiliario.com/MLC-1660362404-mc-1d-con-bodega-metro-rondizonni-_JM#position=21&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.465767021428576,-70.64977802142857,Santiago
"Santo Domingo 3251, Santiago, Chile, Barrio Yungay, Santiago, RM (Metropolitana)",262.0,Gastos comunes aproximados $ 72.000,35 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 2 días por Blue Home,"Santo Domingo 3251 -  Departamento 1d1b, Santiago",https://www.portalinmobiliario.com/MLC-1669865246-santo-domingo-3251-departamento-1d1b-santiago-_JM#position=22&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4364604,-70.643372,Santiago
"Avenida San Ignacio 633, Santiago, Chile, Parque Almagro, Santiago, RM (Metropolitana)",260.0,Gastos comunes aproximados $ 76.000,30 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 3 días,Metro Toesca ,https://www.portalinmobiliario.com/MLC-1384114601-metro-toesca-_JM#position=23&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.3305064,-70.70335,Santiago
"Santiago, Parque O'Higgins, Santiago, RM (Metropolitana)",200.0,Gastos comunes aproximados $ 80.000,34 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 31 días por Houm,Departamento Santiago Id: 105352,https://www.portalinmobiliario.com/MLC-1373752157-departamento-santiago-id-105352-_JM#position=24&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4377756,-70.6504502,Santiago
"General Gana, Franklin - Biobío, Santiago, RM (Metropolitana)",195.0,Gastos comunes aproximados $ 40.000,25 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 25 días por Houm,Departamento General Gana Id: 101195,https://www.portalinmobiliario.com/MLC-1375654369-departamento-general-gana-id-101195-_JM#position=25&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4705954,-70.6439989,Santiago
"Morandé 696, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",294.0,Gastos comunes aproximados $ 60.000,57 m² totales / 2 dormitorios / 2 baños,3,2023-05-17,Publicado hace 4 meses,"2d 2b 30% Dcto En Primer Mes Arriendo, Morande 696",https://www.portalinmobiliario.com/MLC-1580036912-2d-2b-30-dcto-en-primer-mes-arriendo-morande-696-_JM#position=26&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.4356123,-70.65445070588235,Santiago
"General Gana 1063, Santiago, Chile, Franklin - Biobío, Santiago, RM (Metropolitana)",250.0,,30 m² totales / 1 dormitorio / 1 baño,3,2023-05-17,Publicado hace 50 días,Gasto Común Incluido ,https://www.portalinmobiliario.com/MLC-1598364202-gasto-comun-incluido-_JM#position=27&search_layout=stack&type=item&tracking_id=08b1384e-c04c-4425-b9a2-795e8380eb1d,-33.470911584210526,-70.64782224736842,Santiago
