from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
4189,14995,72.0,"['C05', 'C03', 'L1', '507']","['PC614', 'PC661', '40', 'PA335']","['PC1104', 'PC1067', '38', 'PA433']","[15.4, 6.6, 24.1, 6.8]",4.5,3.4,4.8,"[2.2, 1.4, 1.2, 2.5]",73.0,1
4190,14995,55.0,"['216', 'L1', 'L2R', '509']","['PC102', '58', '44', 'PA450']","['PC105', '44', '70', 'PA452']","[4.8, 18.3, 2.6, 3.0]",9.8,4.6,5.8,"[2.8, 2.6, 3.2, 3.5]",60.9,2
4191,14995,71.0,"['426', 'C13', 'L1', 'L2R', '506']","['PC1237', 'PC291', '40', '44', 'PA450']","['PC291', 'PC1067', '44', '70', 'PA452']","[5.3, 17.2, 21.5, 2.6, 3.0]",2.8,4.6,2.6,"[1.1, 3.1, 1.2, 1.6, 2.1]",68.8,1
4192,14995,35.0,"['L1', 'L2R', '507']","['93', '44', 'PA450']","['44', '70', 'PA322']","[12.6, 2.6, 3.6]",4.8,3.3,1.3,"[2.2, 3.1, 1.5]",35.0,27
4193,14995,,[],[],[],[],,,,[],,
4194,14995,63.0,"['406c', 'L1', 'L2R', '506e']","['PC244', '58', '44', 'PA450']","['PC178', '44', '70', 'PA452']","[14.1, 18.3, 2.6, 2.6]",5.9,4.6,6.7,"[1.0, 1.4, 2.8, 2.3]",62.3,1
4195,14995,116.0,"['C13', 'L1', 'L2R', '507']","['PC920', '40', '44', 'PA450']","['PC1067', '44', '70', 'PA322']","[41.7, 21.5, 2.6, 3.4]",27.2,3.3,2.6,"[2.5, 1.8, 2.5, 2.8]",111.8,3
4196,14995,65.0,"['C37', 'L1', 'L2R', '509']","['PC1294', '40', '44', 'PA450']","['PC1064', '44', '70', 'PA452']","[19.8, 21.5, 2.6, 3.3]",6.4,4.6,2.8,"[2.0, 1.3, 2.5, 3.0]",69.8,1
4197,14995,,"['F11', 'L4R', 'L5', 'L6', 'L2', '507']","['PF895', '69', '98', '61', '29', 'PA450']","['PF960', '98', '61', '29', '70', 'PA322']","[23.7, 14.3, 11.9, 4.0, 3.0, 3.4]",35.5,3.3,6.8,"[2.5, 1.3, 1.0, 1.2, 1.3, 1.1]",114.1,1
4198,14995,78.0,"['C10e', 'L1', 'L5V', '121']","['PC1071', '93', '6', 'PA724']","['PC1220', '6', '78', 'PA276']","[16.3, 6.5, 6.3, 8.3]",23.0,4.3,5.1,"[2.9, 2.6, 1.2, 1.3]",77.8,1
